,Tweet,ann_1,ann_2,final_anns
0,RT @mindales: BTS Stranger Things AU poster concept @BTS_twt https://t.co/LytZhKkAbr,1,1,True
1,RT @DEvansThe2nd: Kuz is that one freshman who's kicking it with the seniors. 😂 https://t.co/iNgoj3bYNG,0,0,True
2,RT @ExAmish101: I was Amish and was sexually abused for 6 mo by the bishop of my church before finally going to the police. Strict churches…,1,1,True
3,My son look like he sell stogies 3 dollars a pack,0,0,True
4,I've come to the conclusion that I might be a Service Verse. https://t.co/8nCRnuNHLS,2,1,False
5,careful where you plant them seeds before you water them 🌱,1,1,True
6,RT @nutitty: Starting to get more tan yessss https://t.co/dJvDI1E9MW,1,1,True
7,"RT @xoShaaan: SIR JOHN Lion King Makeup Collection 🦁 Review, Lip Swatches &amp; Tutorial https://t.co/A5Jzj8QtdF https://t.co/JyDdTPnBF7",1,1,True
8,RT @AwwwwCats: what a cutesy little M you have on your forehead https://t.co/Y5lRXtHBb0,2,2,False
9,@laurendesylva @AriMelber ha! good try.,0,0,True
10,RT @Ogcool3108: Lord the weed you put on earth for us they out here drug testing us for it  😭😤,1,0,False
11,@VaughnChadell You ready sis🙃❤️,2,0,False
12,RT @imseokchoo: please rt this to save a life  https://t.co/c59EEwtdBf,1,1,True
13,RT @brumedot: happiness blooms from within   :-)   #PunBNK48 #JennisBNK48 #BNK48  #HBDGrabTH https://t.co/wQG2Sk4Jrm,1,1,True
14,RT @kouotsu: lasty blep https://t.co/vXOhbvnqFc,2,0,False
15,RT @bts_bighit: [#오늘의방탄] BTS with The Voice @NBCTheVoice!💜 #BTSonTheVoice🎶#BTS https://t.co/U7bjMnaWLb,1,1,True
16,"RT @kaciijolynn: a big heart and a great personality is so attractive, looks are just a plus 😫",2,1,False
17,"RT @ana__limaa: If you could turn any book into a movie, what would you pick and who would be the actors? — A seleção pfvr e eu não me impo…",1,1,True
18,"RT @usminority: FULL INTERVIEW HERE: https://t.co/oGDf834WLK  The left has determined it is an act of hate to tell black &amp; brown ppl, LGBT,…",1,1,True
19,RT @allmaag: This is the real definition of a fat ass and a thick woman. And it’s all REAL. Ima go cry now https://t.co/MxXX5dGlkJ,2,0,False
20,as foretold by the podcast,1,2,False
21,RT @GemmaaGibbss: Amy Hart’s best bits  #LoveIsIand https://t.co/Ek7ANQqLfD,1,1,True
22,@nonsuspendedana thank god,1,2,False
23,RT @_princessmagggs: Honestly I wanna be successful already so I can get pregnant lmao,0,0,True
24,RT @__erebus: Old news from 2016; Shahzib Ehsan an assistant professor at LUMS was picked by security agencies as he was leaving the campus…,1,1,True
25,I’m so happy I’m in mother sea AND share the world AUAUAUAGG,2,0,False
26,RT @raniarchanahu: Uffff Feels good deep throat with other's rather then hubby https://t.co/AnjZXLmEOP,2,0,False
27,@LadyJordii @RoyaleDemi @nightbarbie @LeahAshe @cybernova @Keisyooo So cute!,1,1,True
28,RT @melissagray_: im confused....just go to your local marine base???? looks like an typical marine https://t.co/wta5eXk8O2,1,1,True
29,RT @Jaywop6: Don’t put no Avery Bradley highlight reel from 2 years ago on my TL,1,1,True
30,"RT @jano88703942: @UNrefugees Will you put the end for the long suffering of Iraqi asylum seekers and refugees in the host countries,AND, g…",1,1,True
31,RT @doolsetbangtan: [Exclusive/Unconfirmed] @BTS_twt will continue its stadium tour in Seoul in late October at Jamail Olympic Stadium. The…,1,1,True
32,RT @TierraTraniece: Don’t skip leg day girls!🧡 https://t.co/p7bTReBS1i,1,1,True
33,Id love to be tonguing your ass !,2,1,False
34,RT @TopTierNSFW: Retweet for goodluck ✨ https://t.co/gMmFonWeH5,1,1,True
35,RT @Todd_1014: Alexander Breck  Photographed by Frank Marando https://t.co/IKZIGn5vuE,1,1,True
36,Arby's date with babe too end our long break from hell. Back to the grind tomorrow! 🤷,0,0,True
37,RT @ashakiiii: LETS DO IT AGAIN #Blacktwitter 👸🏾🤴🏾👸🏾🤴🏾👸🏾🤴🏾  IF YOU’RE A BLACKTWITTER FAN 🗣🗣🗣🗣 LIKE &amp; RETWEET THIS !!!!!!!! I USED TO HAVE 0…,1,0,False
38,"@yagirlmollsxo I call what I wear to work my costume, because it isn’t who I am at all.",0,2,False
39,"@Just_A_Mug_ Lucky bastard, hope he appreciates what he’s got",0,0,True
40,@GABrownsGuy You and Mike enjoy Amy Schumer comedy specials,1,0,False
41,RT @backstreetboys: Wishing our man @CarsonDaly a big happy birthday! https://t.co/pP3XKK7VBC,1,1,True
42,"RT @renyuwe14: Msg to LGBT community  ""I hope we can make a better place together, for everybody, for all equal rights."" - svt vernon",1,1,True
43,RT @3ahr0na4: My #TeenChoice for #ChoiceSummerTour is BLACKPINK IN YOUR AREA @ygofficialblink . https://t.co/5YsPj2vQOa,1,1,True
44,@redblugreenbean agony,1,1,True
45,RT @Bechirhorcheni: @kirimixer @LittleMix Four My #TeenChoice for #ChoiceSummerGroup is @LittleMix,1,1,True
46,"[80's Edition] Saturday, July 13th, Join Me And A Few Other Dopeee Artists Celebrate The Release Of @mrfeelgood87 &amp;… https://t.co/eCWvHmGp3Q",1,1,True
47,RT @yfndell: I feel like turnin up😂,0,0,True
48,"RT @HESilf: ""greets a fan"" is now my favorite euphemism https://t.co/namyhNuaAl",1,0,False
49,London stabbing - man in 30s rushed to hospital after ANOTHER stabbing attack as knife crime wave continues https://t.co/4abx7D46pf,1,1,True
50,RT @vncntngyn: just found out sometimes girls cry themselves to sleep at night https://t.co/GwzXPSauV9,2,1,False
51,"RT @PromotionBreezy: Even after 14 years of career, Chris Brown got gold on his last two albums in just one week. 🏆 https://t.co/oSLhUvqmHM",1,1,True
52,Good morning! 🌻🌻,1,1,True
53,"Hello! You. ✋🏼 Stop scrolling for just a sec... I want to know, how are you? Like really! In an ideal world I’d be… https://t.co/Fk0XK9Xjst",0,2,False
54,"RT @KnightAzyr: Please share this, and maybe commission me if you can. Thank you! https://t.co/R3HZC5rr7m",1,1,True
55,Let's get started!,1,1,True
